Date,Adj Close,Volume,2-days Net change,5day-moving average,5day- standard deviation,10-day moving average,10day- standard deviation,30-day moving average,30day- standard deviation,^VIX,^TNX
2005/8/25,1212.369995,1571110000,2.780029,1216.197974,5.079221834,1220.384985,7.27073004,1220.081592,14.66392512,13.73,4.16
2005/8/26,1205.099976,1541090000,-7.270019,1213.275977,6.54475249,1217.855982,7.784199992,1219.964392,14.76141009,13.72,4.189
2005/8/29,1212.280029,1599450000,7.180053,1211.385986,4.555122501,1215.696985,5.511340634,1219.870793,14.79564674,13.52,4.173
2005/8/30,1208.410034,1916470000,-3.869995,1209.55,3.021144796,1214.603992,5.785574792,1219.716995,14.87539689,13.65,4.09
2005/8/31,1220.329956,2365510000,11.919922,1211.697998,5.693101978,1214.612988,5.795374228,1219.851394,14.84942876,12.6,4.02
2005/9/1,1221.589966,2229860000,1.26001,1213.541992,7.246439099,1214.869983,6.063305747,1220.005593,14.8261679,13.15,4.019
2005/9/2,1218.02002,1640160000,-3.569946,1216.126001,5.600069341,1214.700989,5.935625445,1220.351394,14.56677923,13.57,4.029
2005/9/6,1233.390015,1932090000,15.369995,1220.347998,8.938281203,1215.866992,8.18781063,1221.187795,14.07271011,12.93,4.085
2005/9/7,1236.359985,2067700000,2.96997,1225.937988,8.32466611,1217.743994,10.46223333,1222.101196,13.52426276,12.52,4.138
2005/9/8,1231.670044,1955380000,-4.689941,1228.206006,7.951213401,1219.952002,10.87207758,1222.703198,13.25902755,12.93,4.139
2005/9/9,1241.47998,1992560000,9.809936,1232.184009,8.749157778,1222.863001,12.40540439,1223.535798,13.10080647,11.98,4.123
2005/9/12,1240.560059,1938050000,-0.919921,1236.692017,4.304649053,1226.409009,11.81790362,1224.5204,12.46551364,11.65,4.169
2005/9/13,1231.199951,2082360000,-9.360108,1236.254004,4.806774069,1228.301001,10.77287915,1225.255601,11.71674093,12.39,4.134
2005/9/14,1227.160034,1986750000,-4.039917,1234.414014,6.288512201,1230.176001,8.266326029,1225.699001,11.34785834,12.91,4.168
2005/9/15,1227.72998,2079340000,0.569946,1233.626001,6.932237337,1230.916003,7.590576725,1226.354802,10.44560439,12.49,4.214
2005/9/16,1237.910034,3152470000,10.180054,1232.912012,6.048609474,1232.54801,7.101320094,1227.155603,9.727403894,11.22,4.262
2005/9/19,1231.02002,2076540000,-6.890014,1231.004004,4.278645832,1233.84801,5.035771799,1227.538804,9.486975591,12.14,4.247
2005/9/20,1221.339966,2319250000,-9.680054,1229.032007,6.065035265,1232.643005,6.411378951,1227.576804,9.45763313,12.64,4.243
2005/9/21,1210.199951,2548150000,-11.140015,1225.63999,10.49704448,1230.027002,9.377230288,1227.336604,9.744869516,13.79,4.188
2005/9/22,1214.619995,2424720000,4.420044,1223.017993,11.43951121,1228.321997,10.52509112,1227.163203,9.894335295,13.33,4.176
2005/9/23,1215.290039,1973020000,0.670044,1218.493994,8.047751692,1225.703003,10.13851841,1226.939004,10.03566558,12.96,4.248
2005/9/26,1215.630005,2022220000,0.339966,1215.415991,3.968495578,1223.209998,9.090217032,1226.693203,10.16087405,13.04,4.294
2005/9/27,1215.660034,1976270000,0.030029,1214.280005,2.318921224,1221.656006,8.898827021,1226.583804,10.25104072,12.76,4.301
2005/9/28,1216.890015,2106980000,1.229981,1215.618018,0.825152339,1220.629004,8.784931,1226.334605,10.33354037,12.63,4.262
2005/9/29,1227.680054,2176120000,10.790039,1218.230029,5.317592273,1220.624011,8.780460066,1226.184207,10.2563128,12.24,4.289
2005/9/30,1228.810059,2097520000,1.130005,1220.934033,6.705267425,1219.714014,7.100799269,1226.219607,10.26237993,11.92,4.328
2005/10/3,1226.699951,2097490000,-2.110108,1223.148023,6.333379678,1219.282007,6.436902249,1226.080005,10.20614428,12.46,4.386
2005/10/4,1214.469971,2341420000,-12.22998,1222.91001,6.697054369,1218.595007,6.558321311,1225.788804,10.32725146,13.2,4.376
2005/10/5,1196.390015,2546780000,-18.079956,1218.81001,13.80599457,1217.214014,9.372640373,1225.093403,11.09992976,14.55,4.361
2005/10/6,1191.48999,2792030000,-4.900025,1211.571997,17.08935056,1214.901013,12.43701573,1224.187402,11.94250667,14.96,4.366
2005/10/7,1195.900024,2126080000,4.410034,1204.98999,15.00024582,1212.962012,13.80580887,1223.231003,12.25700084,14.59,4.361
2005/10/10,1187.329956,2195990000,-8.570068,1197.115991,10.37526635,1210.132007,15.9345817,1222.294002,13.16037208,15.55,null
2005/10/11,1184.869995,2299040000,-2.459961,1191.195996,5.102859473,1207.053003,17.63205905,1221.284402,14.0449043,15.63,4.384
2005/10/12,1177.680054,2491280000,-7.189941,1187.454004,6.88924934,1203.132007,19.46582984,1219.955603,14.95387263,16.219999,4.441
2005/10/13,1176.839966,2351150000,-0.840088,1184.523999,7.798894137,1198.047998,18.97501318,1218.591602,15.71038994,16.469999,4.475
2005/10/14,1186.569946,2188940000,9.72998,1182.657983,5.016295502,1193.823987,15.80252687,1217.605801,16.14513287,14.87,4.491
2005/10/17,1190.099976,2054570000,3.53003,1183.211987,5.759214486,1190.163989,10.78353744,1216.879399,16.55238871,14.67,4.489
2005/10/18,1178.140015,2197010000,-11.959961,1181.865991,6.053750793,1186.530994,7.213958371,1215.9796,17.40647597,15.33,4.481
2005/10/19,1195.76001,2703590000,17.619995,1185.481983,8.011496642,1186.467993,7.120436228,1215.2672,17.49202065,13.5,4.463
2005/10/20,1177.800049,2617250000,-17.959961,1185.673999,7.760148433,1185.098999,7.359626085,1214.240601,18.15549799,16.110001,4.459
2005/10/21,1179.589966,2470920000,1.789917,1184.278003,8.175394944,1183.467993,6.451204647,1213.076199,18.47714462,16.129999,4.39
2005/10/24,1199.380005,2197790000,19.790039,1186.134009,10.53920815,1184.672998,8.153522517,1212.455999,18.40442708,14.74,4.446
2005/10/25,1196.540039,2312470000,-2.839966,1189.814014,10.25876427,1185.840003,8.978296188,1211.709399,18.27472431,14.53,4.508
2005/10/26,1191.380005,2467750000,-5.160034,1188.938013,9.800887025,1187.209998,8.633437719,1211.1502,18.46327597,14.59,4.591
2005/10/27,1178.900024,2395370000,-12.479981,1189.158008,9.495979919,1187.416004,8.379339295,1210.323401,18.96667602,16.02,4.558
